Childish,Mature_VL
Juvenile,Mature_VL
Sophomoric,Mature_VL
Just,Fair_VH
Balanced,Fair_VH
Equitable,Fair_VH
Impartial,Fair_VH
Unprejudiced,Fair_VH
Civil,Fair_VH
Courteous,Fair_H
Equitable,Fair_H
Generous,Fair_H
Lawful,Fair_H
Unfair,Fair_L
Partial,Fair_L
Biased,Fair_L
Imbalanced,Fair_L
Prejudiced,Fair_L
Partisan,Fair_VL
Deceitful,Fair_VL
Devious,Fair_VL
Dishonest,Fair_VL
Practical,Reasonable_VH
Realistic,Reasonable_VH
Pragmatic,Reasonable_VH
Rational,Reasonable_VH
Wise,Reasonable_VH
Judicious,Reasonable_VH
Logical,Reasonable_VH
Prudent,Reasonable_H
Sensible,Reasonable_H
Sage,Reasonable_H
Methodical,Reasonable_H
Systematic,Reasonable_H
Unsentimental,Reasonable_H
Fanciful,Reasonable_L
Imprudent,Reasonable_L
Mawkish,Reasonable_L
Misguided,Reasonable_L
Dreamy,Reasonable_L
Impractical,Reasonable_VL
Idealistic,Reasonable_VL
Perfectionist,Reasonable_VL
Sentimental,Reasonable_VL
Arbitrary,Reasonable_VL
Escapist,Reasonable_VL
Benevolent,Kind_VH
Considerate,Kind_VH
Humane,Kind_VH
Kindhearted,Kind_VH
Loving,Kind_VH
Sympathetic,Kind_VH
Thoughtful,Kind_VH
Affectionate,Kind_H
Gracious,Kind_H
Amiable,Kind_H
Charitable,Kind_H
Compassionate,Kind_H
Troublesome,Kind_L
Unfriendly,Kind_L
Unpleasant,Kind_L
Rough,Kind_L
Ugly,Kind_L
Unkind,Kind_VL
Mean,Kind_VL
Cruel,Kind_VL
Abrasive,Kind_VL
Malicious,Kind_VL
Evil,Kind_VL
Altruistic,Generous_VH
Humanitarian,Generous_VH
Philanthropic,Generous_VH
Selfless,Generous_VH
Giving,Generous_VH
Charitable,Generous_VH
Magnanimous,Generous_H
Munificent,Generous_H
Unselfish,Generous_H
Beneficent,Generous_H
Bighearted,Generous_H
Accommodating,Generous_H
Sharing,Generous_H
Hedonistic,Generous_L
Self-indulgent,Generous_L
Selfish,Generous_VL
Egocentric,Generous_VL
Greedy,Generous_VL
Tranquil,Calm_VH
Serene,Calm_VH
Relaxed,Calm_VH
Leisurely,Calm_VH
Peaceful,Calm_VH
Nonchalant,Calm_VH
Airy,Calm_VH
Easygoing,Calm_VH
Unruffled,Calm_H
Unflustered,Calm_H
Placid,Calm_H
Controlled,Calm_H
Insouciant,Calm_H
Mellow,Calm_H
Casual,Calm_H
Equable,Calm_H
Languid,Calm_H
Moody,Calm_L
Antsy,Calm_L
Restless,Calm_L
Worried,Calm_L
Fidgety,Calm_L
Dismayed,Calm_L
Distressed,Calm_L
Nervous,Calm_VL
Anxious,Calm_VL
Edgy,Calm_VL
Tense,Calm_VL
Skittish,Calm_VL
Neurotic,Calm_VL
Excitable,Calm_VL
Proficient,Capable_VH
Adept,Capable_VH
Handy,Capable_VH
Skillful,Capable_VH
Gifted,Capable_VH
Able,Capable_H
Talented,Capable_H
Competent,Capable_H
Expert,Capable_H
Useful,Capable_H
Clumsy,Capable_L
Uncoordinated,Capable_L
Amateurish,Capable_L
Inexperienced,Capable_L
Incompetent,Capable_VL
Inept,Capable_VL
Unskillful,Capable_VL
Unqualified,Capable_VL
Captivating,Persuasive_VH
Alluring,Persuasive_VH
Enticing,Persuasive_VH
Compelling,Persuasive_VH
Credible,Persuasive_H
Convincing,Persuasive_H
Eloquent,Persuasive_H
Energetic,Persuasive_H
Plausible,Persuasive_H
Inconclusive,Persuasive_L
Questionable,Persuasive_L
Unbelievable,Persuasive_L
Suspect,Persuasive_L
Unconvincing,Persuasive_VL
Flimsy,Persuasive_VL
Implausible,Persuasive_VL
Charming,Charismatic_VH
Beguiling,Charismatic_VH
Lovable,Charismatic_VH
Suave,Charismatic_VH
Debonair,Charismatic_VH
Urbane,Charismatic_H
Winning,Charismatic_H
Endearing,Charismatic_H
Cute,Charismatic_H
