Word	DeterminerTypeID	howCommon	commonRank
the	2	6.510891	0
these	4	0.131991	77
which	7	0.391452	30
a	1	2.263141	4
that	5	1.173595	6
what	7	0.262502	45
this	3	0.487417	22
whichever	7	9.16E-4	7792
an	1	0.362002	33
those	6	0.0935	109
whatever	7	0.013927	740
