Word	Plurality	Gender	AnAbbreviationFor	AbbreviatedFrom	AnAcronymFor	irregularPluralForm	IsCompound	IsCountable	AcceptsZeroArticle	IsProperName	Compliments	BaseForm	Animacy	location	howCommon	commonRank	propBank	frame
Ada	--	Feminine	--	--	--	--	false	null	null	true	--	Ada	Human	false	-1.0	-1	--
Miray	--	Feminine	--	--	--	--	false	null	null	true	--	Miray	Human	false	-1.0	-1	--
Vanshya	--	Masculine	--	--	--	--	false	null	null	true	--	Vanshya	Human	false	-1.0	-1	--
Maribel	--	Feminine	--	--	--	--	false	null	null	true	--	Maribel	Human	false	-1.0	-1	--
Vidojas	--	Masculine	--	--	--	--	false	null	null	true	--	Vidojas	Human	false	-1.0	-1	--
Elmo	--	Masculine	--	--	--	--	false	null	null	true	--	Elmo	Human	false	-1.0	-1	--
Kishore	--	Masculine	--	--	--	--	false	null	null	true	--	Kishore	Human	false	-1.0	-1	--
Rukhmini	--	Feminine	--	--	--	--	false	null	null	true	--	Rukhmini	Human	false	-1.0	-1	--
Taniko	--	Feminine	--	--	--	--	false	null	null	true	--	Taniko	Human	false	-1.0	-1	--
Vanamalin	--	Masculine	--	--	--	--	false	null	null	true	--	Vanamalin	Human	false	-1.0	-1	--
Kishori	--	Feminine	--	--	--	--	false	null	null	true	--	Kishori	Human	false	-1.0	-1	--
Lakshana	--	Feminine	--	--	--	--	false	null	null	true	--	Lakshana	Human	false	-1.0	-1	--
Mrigasya	--	Masculine	--	--	--	--	false	null	null	true	--	Mrigasya	Human	false	-1.0	-1	--
Elna	--	Feminine	--	--	--	--	false	null	null	true	--	Elna	Human	false	-1.0	-1	--
Vakrabhuj	--	Masculine	--	--	--	--	false	null	null	true	--	Vakrabhuj	Human	false	-1.0	-1	--
Jalaj	--	Masculine	--	--	--	--	false	null	null	true	--	Jalaj	Human	false	-1.0	-1	--
Jalal	--	Masculine	--	--	--	--	false	null	null	true	--	Jalal	Human	false	-1.0	-1	--
Sarojin	--	Masculine	--	--	--	--	false	null	null	true	--	Sarojin	Human	false	-1.0	-1	--
Shilpita	--	Feminine	--	--	--	--	false	null	null	true	--	Shilpita	Human	false	-1.0	-1	--
Jewell	--	Feminine	--	--	--	--	false	null	null	true	--	Jewell	Human	false	-1.0	-1	--
Masayoshi	--	Masculine	--	--	--	--	false	null	null	true	--	Masayoshi	Human	false	-1.0	-1	--
Chikuma	--	Feminine	--	--	--	--	false	null	null	true	--	Chikuma	Human	false	-1.0	-1	--
Jaivant	--	Masculine	--	--	--	--	false	null	null	true	--	Jaivant	Human	false	-1.0	-1	--
Swaminath	--	Masculine	--	--	--	--	false	null	null	true	--	Swaminath	Human	false	-1.0	-1	--
Elly	--	Feminine	--	--	--	--	false	null	null	true	--	Elly	Human	false	-1.0	-1	--
Yashneil	--	Masculine	--	--	--	--	false	null	null	true	--	Yashneil	Human	false	-1.0	-1	--
Elma	--	Feminine	--	--	--	--	false	null	null	true	--	Elma	Human	false	-1.0	-1	--
Enola	--	Feminine	--	--	--	--	false	null	null	true	--	Enola	Human	false	-1.0	-1	--
Nabhya	--	Masculine	--	--	--	--	false	null	null	true	--	Nabhya	Human	false	-1.0	-1	--
Tanika	--	Feminine	--	--	--	--	false	null	null	true	--	Tanika	Human	false	-1.0	-1	--
Nandita	--	Feminine	--	--	--	--	false	null	null	true	--	Nandita	Human	false	-1.0	-1	--
Yookyung	--	Feminine	--	--	--	--	false	null	null	true	--	Yookyung	Human	false	-1.0	-1	--
Zdravko	--	Masculine	--	--	--	--	false	null	null	true	--	Zdravko	Human	false	-1.0	-1	--
Rinesh	--	Masculine	--	--	--	--	false	null	null	true	--	Rinesh	Human	false	-1.0	-1	--
Jelena	--	Feminine	--	--	--	--	false	null	null	true	--	Jelena	Human	false	-1.0	-1	--
Hercules	--	Masculine	--	--	--	--	false	null	null	true	--	Hercules	Human	false	-1.0	-1	--
Eloy	--	Masculine	--	--	--	--	false	null	null	true	--	Eloy	Human	false	-1.0	-1	--
Petya	--	Feminine	--	--	--	--	false	null	null	true	--	Petya	Human	false	-1.0	-1	--
Rajika	--	Feminine	--	--	--	--	false	null	null	true	--	Rajika	Human	false	-1.0	-1	--
Promila	--	Feminine	--	--	--	--	false	null	null	true	--	Promila	Human	false	-1.0	-1	--
Agrim	--	Masculine	--	--	--	--	false	null	null	true	--	Agrim	Human	false	-1.0	-1	--
Guillermo	--	Masculine	--	--	--	--	false	null	null	true	--	Guillermo	Human	false	-1.0	-1	--
Jotaro	--	Masculine	--	--	--	--	false	null	null	true	--	Jotaro	Human	false	-1.0	-1	--
Shikhandin	--	Masculine	--	--	--	--	false	null	null	true	--	Shikhandin	Human	false	-1.0	-1	--
Ibraheem	--	Masculine	--	--	--	--	false	null	null	true	--	Ibraheem	Human	false	-1.0	-1	--
Maegan	--	Feminine	--	--	--	--	false	null	null	true	--	Maegan	Human	false	-1.0	-1	--
Sravya	--	Feminine	--	--	--	--	false	null	null	true	--	Sravya	Human	false	-1.0	-1	--
Narayani	--	Feminine	--	--	--	--	false	null	null	true	--	Narayani	Human	false	-1.0	-1	--
Kamalaj	--	Masculine	--	--	--	--	false	null	null	true	--	Kamalaj	Human	false	-1.0	-1	--
Abhyagni	--	Masculine	--	--	--	--	false	null	null	true	--	Abhyagni	Human	false	-1.0	-1	--
Sukriti	--	Feminine	--	--	--	--	false	null	null	true	--	Sukriti	Human	false	-1.0	-1	--
