Word	Plurality	Gender	AnAbbreviationFor	AbbreviatedFrom	AnAcronymFor	irregularPluralForm	IsCompound	IsCountable	AcceptsZeroArticle	IsProperName	Compliments	BaseForm	Animacy	location	howCommon	commonRank	propBank	frame
Sinop	--	Neuter	--	--	--	--	false	null	null	true	--	Sinop	Inanimate	true	-1.0	-1	--
Ise	--	Neuter	--	--	--	--	false	null	null	true	--	Ise	Inanimate	true	-1.0	-1	--
Jordan	--	Neuter	--	--	--	--	false	null	null	true	--	Jordan	Inanimate	true	-1.0	-1	--
Araguari	--	Neuter	--	--	--	--	false	null	null	true	--	Araguari	Inanimate	true	-1.0	-1	--
Cajamarca	--	Neuter	--	--	--	--	false	null	null	true	--	Cajamarca	Inanimate	true	-1.0	-1	--
Dezhou	--	Neuter	--	--	--	--	false	null	null	true	--	Dezhou	Inanimate	true	-1.0	-1	--
Dingzhou	--	Neuter	--	--	--	--	false	null	null	true	--	Dingzhou	Inanimate	true	-1.0	-1	--
Zhangqiu	--	Neuter	--	--	--	--	false	null	null	true	--	Zhangqiu	Inanimate	true	-1.0	-1	--
Araure	--	Neuter	--	--	--	--	false	null	null	true	--	Araure	Inanimate	true	-1.0	-1	--
Khayelitsa	--	Neuter	--	--	--	--	false	null	null	true	--	Khayelitsa	Inanimate	true	-1.0	-1	--
Independence	--	Neuter	--	--	--	--	false	null	null	true	--	Independence	Inanimate	true	-1.0	-1	--
Lyon	--	Neuter	--	--	--	--	false	null	null	true	--	Lyon	Inanimate	true	-1.0	-1	--
Ingolstadt	--	Neuter	--	--	--	--	false	null	null	true	--	Ingolstadt	Inanimate	true	-1.0	-1	--
Firozpur	--	Neuter	--	--	--	--	false	null	null	true	--	Firozpur	Inanimate	true	-1.0	-1	--
Siwan	--	Neuter	--	--	--	--	false	null	null	true	--	Siwan	Inanimate	true	-1.0	-1	--
Aizawl	--	Neuter	--	--	--	--	false	null	null	true	--	Aizawl	Inanimate	true	-1.0	-1	--
Changzhou	--	Neuter	--	--	--	--	false	null	null	true	--	Changzhou	Inanimate	true	-1.0	-1	--
