Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
cold-chisel	--	Transitive	--	--	N/A	No	null	-1.0	-1	chisel	false
troke	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	troke	false
quiet	--	tran=np;part(down)+tran=np	--	--	N/A	No	null	0.006755	1605	quiet	false
subsuming	--	Transitive	Present	--	N/A	No	null	1.2E-5	81218	subsume	false
addrest	--	--	--	--	N/A	No	null	-1.0	-1	addr	false
address	--	Transitive	--	--	N/A	No	null	0.0074	1458	add	false
reinfiltrate	--	--	--	--	N/A	No	null	-1.0	-1	infiltrate	false
troll	--	Intransitive	--	--	N/A	No	null	1.05E-4	29349	troll	false
preinclined	--	Transitive	Past	--	N/A	No	null	-1.0	-1	incline	false
incising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	incise	false
alkalinizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	alkaline	false
cross-examined	--	Transitive	Past	--	N/A	No	null	-1.0	-1	cross examine	false
apotheosized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	apotheos	false
engirdle	--	Transitive	--	--	N/A	No	null	-1.0	-1	engirdle	false
misaim	--	--	--	--	N/A	No	null	-1.0	-1	aim	false
outbud	--	Transitive	--	--	N/A	No	null	-1.0	-1	outbud	false
particularise	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	particularise	false
claver	--	Intransitive	--	--	N/A	No	null	-1.0	-1	clave	false
dither	--	Intransitive	--	--	N/A	No	null	4.0E-5	47179	dith	false
martyrised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	martyrise	false
pummeled	--	Transitive	Past	--	N/A	No	null	-1.0	-1	pummele	false
confront	--	Transitive	--	--	N/A	No	null	7.59E-4	8859	confront	false
lapping	--	--	Present	--	N/A	No	null	1.5E-4	23997	lap	false
abutted	--	--	Past	--	N/A	No	null	-1.0	-1	abut	false
emmarble	--	Transitive	--	--	N/A	No	null	-1.0	-1	emmarble	false
Prussianize	--	Transitive	--	--	N/A	No	null	-1.0	-1	pruss	false
rivetted	--	--	Past	--	N/A	No	null	-1.0	-1	rivet	false
subdelegate	--	Transitive	--	--	N/A	No	null	-1.0	-1	delegate	false
revaccinated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	revaccinate	false
underrealise	--	Transitive	--	--	N/A	No	null	-1.0	-1	realise	false
gaggled	--	--	Past	--	N/A	No	null	-1.0	-1	gaggl	false
reneutralize	--	--	--	--	N/A	No	null	-1.0	-1	reneutrale	false
engirded	--	Transitive	Past	--	N/A	No	null	-1.0	-1	engird	false
pervade	--	Transitive	--	--	N/A	No	null	6.2E-5	38442	pervade	false
conduced	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	conduce	false
rigidifying	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	rigidifie	false
alphabetized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	alphabete	false
disenfranchising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	disenfranchise	false
derrick	--	tran=np	--	--	N/A	No	null	9.7E-5	30689	derrick	false
liberalised	--	Ambitransitive	Past	--	N/A	No	null	2.7E-5	56702	liberalise	false
overbrake	--	Transitive	--	--	N/A	No	null	-1.0	-1	brake	false
outcrept	--	Transitive	--	--	N/A	No	null	-1.0	-1	outcrept	false
reseparating	--	--	Present	--	N/A	No	null	-1.0	-1	reseparate	false
pugged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	pug	false
bursting	--	--	Present	--	N/A	No	null	6.25E-4	10118	burst	false
cross-stringed	--	Transitive	Past	--	N/A	No	null	-1.0	-1	cross	false
eulogise	--	Transitive	--	--	N/A	No	null	-1.0	-1	eulogise	false
hying	--	--	Present	--	N/A	No	null	-1.0	-1	hie	false
oppugn	--	Transitive	--	--	N/A	No	null	-1.0	-1	oppugn	false
fubbing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	fub	false
phenomenalize	--	Transitive	--	--	N/A	No	null	-1.0	-1	phenomenale	false
capsulized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	capsule	false
absterge	--	Transitive	--	--	N/A	No	null	-1.0	-1	absterge	false
tomcatting	--	--	Present	--	N/A	No	null	-1.0	-1	tomcat	false
superimposing	--	Transitive	Present	--	N/A	No	null	3.5E-5	50779	impose	false
unsheathe	--	Transitive	--	--	N/A	No	null	-1.0	-1	sheathe	false
flown	--	--	--	--	N/A	No	null	0.001155	6649	fly	false
undertrain	--	Transitive	--	--	N/A	No	null	-1.0	-1	train	false
overcomplicating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	complicate	false
freeze-drying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	freeze	false
ensuring	--	Transitive	Present	--	N/A	No	null	0.002039	4418	ensure	false
overcondensed	--	--	Past	--	N/A	No	null	-1.0	-1	condense	false
spoil	--	Ambitransitive	--	--	N/A	No	null	6.79E-4	9579	spoil	false
purged	--	--	Past	--	N/A	No	null	1.39E-4	25129	purg	false
preponderate	--	Intransitive	--	--	N/A	No	null	-1.0	-1	preponderate	false
snick	--	Transitive	--	--	N/A	No	null	-1.0	-1	snick	false
ensepulcher	--	Transitive	--	--	N/A	No	null	-1.0	-1	ensepulch	false
expatiating	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	expatiat	false
chamois	--	Transitive	--	--	N/A	No	null	4.9E-5	42749	chamoi	false
outriding	--	--	Present	--	N/A	No	null	-1.0	-1	outride	false
scummed	--	--	Past	--	N/A	No	null	-1.0	-1	scum	false
barbeque	--	Transitive	--	--	N/A	No	null	1.2E-5	83061	barbeque	false
amating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	amate	false
diplomaed	--	--	Past	--	N/A	No	null	-1.0	-1	diploma	false
realized	--	--	Past	--	N/A	No	null	0.003273	3095	real	false
misworshiped	--	--	Past	--	N/A	No	null	-1.0	-1	misworshipe	false
tocher	--	Transitive	--	--	N/A	No	null	-1.0	-1	toch	false
underrecompense	--	Transitive	--	--	N/A	No	null	-1.0	-1	recompense	false
automate	--	tran=np	--	--	N/A	No	null	5.9E-5	39343	automate	false
keep at	--	Transitive	--	--	N/A	Seperable	null	-1.0	-1	keep	false
tumefied	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	tumefy	false
wilder	--	--	--	--	N/A	No	null	2.67E-4	17260	wild	false
pranced	--	--	Past	--	N/A	No	null	2.8E-5	55497	pranc	false
ejaculated	--	--	Past	--	N/A	No	null	2.4E-5	59295	ejaculate	false
refueled	--	--	Past	--	N/A	No	null	-1.0	-1	fuel	false
outcreep	--	Transitive	--	--	N/A	No	null	-1.0	-1	outcreep	false
miscuing	--	--	Present	--	N/A	No	null	-1.0	-1	miscu	false
hasting	--	--	Present	--	N/A	No	null	-1.0	-1	hast	false
misappropriate	--	Transitive	--	--	N/A	No	null	-1.0	-1	appropriate	false
gwine	--	--	--	--	N/A	No	null	-1.0	-1	gwine	false
snivel	--	Intransitive	--	--	N/A	No	null	-1.0	-1	snivel	false
decompress	--	tran=np	--	--	N/A	No	null	-1.0	-1	comp	false
experiment	--	Intransitive	--	--	N/A	No	null	0.003298	3078	experim	false
loved	--	--	Past	--	N/A	No	null	0.005155	2072	love	false
rehidden	--	--	--	--	N/A	No	null	-1.0	-1	rehidd	false
flour	--	Transitive	--	--	N/A	No	null	0.001101	6862	flour	false
revend	--	Transitive	--	--	N/A	No	null	-1.0	-1	revend	false
misadd	--	--	--	--	N/A	No	null	-1.0	-1	add	false
resurged	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	resurg	false
displode	--	--	--	--	N/A	No	null	-1.0	-1	displode	false
flout	--	tran=np	--	--	N/A	No	null	6.5E-5	37252	flout	false
rebuckled	--	--	Past	--	N/A	No	null	-1.0	-1	rebuckl	false
misact	--	Intransitive	--	--	N/A	No	null	-1.0	-1	act	false
underdotted	--	Transitive	Past	--	N/A	No	null	-1.0	-1	dot	false
respliced	--	Transitive	Past	--	N/A	No	null	-1.0	-1	resplice	false
denasalizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	denasale	false
destine	--	Transitive	--	--	N/A	No	null	-1.0	-1	destine	false
unpiled	--	--	Past	--	N/A	No	null	-1.0	-1	pile	false
glint	--	Intransitive	--	--	N/A	No	null	2.36E-4	18557	glint	false
fuck	--	--	--	--	N/A	No	null	0.001478	5597	fuck	false
circumvallating	--	--	Present	--	N/A	No	null	-1.0	-1	circumvallate	false
overemotionalized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	overemotionale	false
thudded	--	--	Past	--	N/A	No	null	6.4E-5	37743	thud	false
rechoosing	--	--	Present	--	N/A	No	null	-1.0	-1	rechoos	false
matter	--	Intransitive	--	--	N/A	No	null	0.021291	464	mat	false
bandage	--	tran=np+tran=np;part(up)+ditran=np+pphr(with+np)	--	--	N/A	No	null	2.65E-4	17344	band	false
exsolve	--	Intransitive	--	--	N/A	No	null	-1.0	-1	exsolve	false
acquiring	--	Transitive	Present	--	N/A	No	null	9.28E-4	7728	acquir	false
arterialized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	arterial	false
noise	--	Ambitransitive	--	--	N/A	No	null	0.004899	2172	noise	false
spout	--	tran=np+tran=np;part(out)	--	--	N/A	No	null	1.37E-4	25344	spout	false
Cravenetting	--	--	Present	--	N/A	No	null	-1.0	-1	cravenet	false
glime	--	Intransitive	--	--	N/A	No	null	-1.0	-1	glime	false
quilt	--	Transitive	--	--	N/A	No	null	2.03E-4	20238	quilt	false
overpraticing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	overpratice	false
hyphen	--	Transitive	--	--	N/A	No	null	6.1E-5	38656	hyph	false
quill	--	Transitive	--	--	N/A	No	null	7.5E-5	34896	quill	false
sanitised	--	Transitive	Past	--	N/A	No	null	3.6E-5	50171	sanitise	false
snipe	--	Intransitive	--	--	N/A	No	null	1.03E-4	29700	snipe	false
produce	--	Transitive	--	--	N/A	No	null	0.012199	857	produce	false
superlie	--	Transitive	--	--	N/A	No	null	-1.0	-1	lie	false
eunuchised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	eunuchise	false
overargue	--	--	--	--	N/A	No	null	-1.0	-1	argue	false
restabilized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	restabile	false
overgrow	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	grow	false
infiltrate	--	tran=np+ditran=np+pphr(in+np)+ditran=np+pphr(into+np)	--	--	N/A	No	null	1.28E-4	26289	filtrate	false
reobserved	--	--	Past	--	N/A	No	null	-1.0	-1	reobserv	false
spoof	--	tran=np	--	--	N/A	No	null	6.4E-5	37750	spoof	false
pitted	--	--	Past	--	N/A	No	null	1.72E-4	22363	pit	false
fuel	--	tran=np	--	--	N/A	No	null	0.004458	2382	fuel	false
spool	--	tran=np	--	--	N/A	No	null	5.8E-5	39677	spool	false
spook	--	Transitive	--	--	N/A	No	null	3.8E-5	48791	spook	false
catechized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	catech	false
tangent-sawn	--	Transitive	--	--	N/A	No	null	-1.0	-1	saw	false
definitizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	definite	false
cuckooed	--	--	Past	--	N/A	No	null	-1.0	-1	cuckoo	false
decode	--	tran=np	--	--	N/A	No	null	7.9E-5	34142	code	false
bulwark	--	Transitive	--	--	N/A	No	null	9.6E-5	30784	bulwark	false
overlimit	--	Transitive	--	--	N/A	No	null	-1.0	-1	limit	false
muddle along	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	muddle	false
preallege	--	Transitive	--	--	N/A	No	null	-1.0	-1	allege	false
function	--	Intransitive	--	--	N/A	No	null	0.009115	1186	function	false
herringbone	--	Intransitive	--	--	N/A	No	null	3.4E-5	51186	herringbone	false
presatisfy	--	Transitive	--	--	N/A	No	null	-1.0	-1	presatisfy	false
raise	--	Ditransitive	--	--	N/A	No	null	0.006548	1659	raise	false
spoon	--	Ambitransitive	--	--	N/A	No	null	8.72E-4	8037	spoon	false
spoom	--	Intransitive	--	--	N/A	No	null	-1.0	-1	spoom	false
revere	--	Transitive	--	--	N/A	No	null	3.6E-5	50109	revere	false
spoor	--	--	--	--	N/A	No	null	2.5E-5	58008	spo	false
overplay	--	Transitive	--	--	N/A	No	null	-1.0	-1	overplay	false
miscast	--	tran=np	--	--	N/A	No	null	-1.0	-1	cast	false
podzolize	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	podzole	false
overcultivate	--	Transitive	--	--	N/A	No	null	-1.0	-1	cultivate	false
quirt	--	Transitive	--	--	N/A	No	null	-1.0	-1	quirt	false
devoice	--	Transitive	--	--	N/A	No	null	-1.0	-1	devoice	false
revert	--	Intransitive	--	--	N/A	No	null	3.74E-4	14005	revert	false
bid up	--	--	--	--	N/A	NotSeperable	null	-1.0	-1	bid	false
adventure	--	Intransitive	--	--	N/A	No	null	0.001602	5269	adventure	false
redraw	--	tran=np+tran=np;part(up)+tran=np;part(out)+tran=pphr(for+np)+tran=pphr(from+np)+tran=pphr(on+np)+tran=pphr(upon+np)+ditran=np+pphr(for+np);datmvt+cplxtran=np,advbl+cplxtran=np,adj	--	--	N/A	No	null	2.3E-5	60479	draw	false
cliqued	--	--	Past	--	N/A	No	null	-1.0	-1	cliqu	false
roughen	--	tran=np	--	--	N/A	No	null	-1.0	-1	rough	false
think out	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	think out	false
joy-riding	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	joyride	false
improve	--	Ambitransitive	--	--	N/A	No	null	0.006532	1666	improve	false
abdicate	--	tran=np+tran=pphr(from+np)	--	--	N/A	No	null	4.7E-5	43773	abdicate	false
cross-question	--	--	--	--	N/A	No	null	-1.0	-1	cross	false
decoct	--	tran=np	--	--	N/A	No	null	-1.0	-1	decoct	false
prebelieve	--	--	--	--	N/A	No	null	-1.0	-1	believe	false
reballot	--	Intransitive	--	--	N/A	No	null	-1.0	-1	ballot	false
retwining	--	--	Present	--	N/A	No	null	-1.0	-1	retwine	false
move in	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	move in	false
reorder	--	Transitive	--	--	N/A	No	null	2.4E-5	59072	ord	false
troop	--	Intransitive	--	--	N/A	No	null	5.74E-4	10712	troop	false
underrealize	--	Transitive	--	--	N/A	No	null	-1.0	-1	underreal	false
resignal	--	--	--	--	N/A	No	null	-1.0	-1	resignal	false
predoom	--	Transitive	--	--	N/A	No	null	-1.0	-1	doom	false
tedding	--	Transitive	Present	--	N/A	No	null	-1.0	-1	ted	false
doat	--	Intransitive	--	--	N/A	No	null	-1.0	-1	doat	false
wound	--	Transitive	--	--	N/A	No	null	0.002273	4052	wound	false
malinger	--	Intransitive	--	--	N/A	No	null	-1.0	-1	maling	false
prebill	--	Transitive	--	--	N/A	No	null	-1.0	-1	bill	false
epistolized	--	--	Past	--	N/A	No	null	-1.0	-1	epistole	false
phonated	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	phonate	false
recasting	--	--	Present	--	N/A	No	null	4.0E-5	47574	cast	false
reindustrialize	--	Transitive	--	--	N/A	No	null	-1.0	-1	reindustrial	false
step down	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	step down	false
floor	--	Transitive	--	--	N/A	No	null	0.012159	865	flo	false
trade on	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	trade	false
resecuring	--	--	Present	--	N/A	No	null	-1.0	-1	resecure	false
beg off	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	beg off	false
outquoting	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outquot	false
spore	--	Intransitive	--	--	N/A	No	null	2.5E-5	58011	spore	false
doctor	--	Ambitransitive	--	--	N/A	No	null	0.011043	968	doct	false
booze	--	--	--	--	N/A	No	null	3.23E-4	15379	booze	false
inflate	--	Ambitransitive	--	--	N/A	No	null	6.1E-5	38627	inflate	false
hoveled	--	--	Past	--	N/A	No	null	-1.0	-1	hovele	false
keep in	--	Transitive	--	--	N/A	Seperable	null	-1.0	-1	keep in	false
go out	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	go out	false
overelaborated	--	--	Past	--	N/A	No	null	-1.0	-1	elaborate	false
foment	--	Transitive	--	--	N/A	No	null	2.2E-5	61958	fom	false
obnubilate	--	Transitive	--	--	N/A	No	null	-1.0	-1	obnubilate	false
sport	--	Ambitransitive	--	--	N/A	No	null	0.004785	2221	sport	false
spring-clean	--	tran=np	--	--	N/A	No	null	-1.0	-1	spring-clean	false
resinate	--	Transitive	--	--	N/A	No	null	-1.0	-1	resinate	false
cluster	--	tran=pphr(around+np)+tran=pphr(round+np)+tran=np;part(together)	--	--	N/A	No	null	0.001017	7250	clust	false
imbuing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	imbu	false
preliquidated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	liquidate	false
prerevise	--	Transitive	--	--	N/A	No	null	-1.0	-1	prerevise	false
mooch	--	Intransitive	--	--	N/A	No	null	2.6E-5	56896	mooch	false
robbing	--	--	Present	--	N/A	No	null	1.84E-4	21466	rob	false
overannotate	--	--	--	--	N/A	No	null	-1.0	-1	annotate	false
recarried	--	Transitive	Past	--	N/A	No	null	-1.0	-1	carry	false
reconstitute	--	Transitive	--	--	N/A	No	null	4.8E-5	43320	constitute	false
Indianise	--	Transitive	--	--	N/A	No	null	-1.0	-1	indianise	false
vitriol	--	Transitive	--	--	N/A	No	null	2.8E-5	55206	vitriol	false
overlactated	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	lactate	false
elegising	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	elegise	false
fumigating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	fumigate	false
dock	--	Transitive	--	--	N/A	No	null	0.001366	5932	dock	false
forsook	--	--	--	--	N/A	No	null	1.7E-5	69333	forsake	false
unquoting	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	unquot	false
unmerge	--	Transitive	--	--	N/A	No	null	-1.0	-1	merge	false
overgrew	--	--	--	--	N/A	No	null	-1.0	-1	grow	false
prelocating	--	--	Present	--	N/A	No	null	-1.0	-1	locate	false
exclaim	--	Transitive	--	--	N/A	No	null	7.5E-5	34988	exclaim	false
self-tired	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	tire	false
busheling	--	Transitive	--	--	N/A	No	null	-1.0	-1	bushe	false
tunneled	--	--	Past	--	N/A	No	null	-1.0	-1	tunnele	false
redrew	--	--	--	--	N/A	No	null	-1.0	-1	draw	false
pacifying	--	Transitive	Present	--	N/A	No	null	1.4E-5	76648	pacifie	false
interjectionalize	--	Transitive	--	--	N/A	No	null	-1.0	-1	interjectionale	false
battologizing	--	--	Present	--	N/A	No	null	-1.0	-1	battology	false
geometrized	--	--	Past	--	N/A	No	null	-1.0	-1	geometr	false
chouse	--	Transitive	--	--	N/A	No	null	-1.0	-1	chouse	false
griddling	--	--	--	--	N/A	No	null	-1.0	-1	grid	false
haemagglutinate	--	Transitive	--	--	N/A	No	null	-1.0	-1	haemagglutinate	false
deoxygenized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	deoxygene	false
dethrone	--	Transitive	--	--	N/A	No	null	-1.0	-1	dethrone	false
collapsed	--	--	Past	--	N/A	No	null	0.00181	4825	collaps	false
emotionalized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	emotionale	false
proving	--	Ambitransitive	Present	--	N/A	No	null	0.001219	6424	prove	false
revest	--	tran=np	--	--	N/A	No	null	-1.0	-1	reve	false
prespeculate	--	Intransitive	--	--	N/A	No	null	-1.0	-1	prespeculate	false
settle with	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	settle	false
promote	--	Transitive	--	--	N/A	No	null	0.003345	3033	mote	false
reveto	--	Transitive	--	--	N/A	No	null	-1.0	-1	reveto	false
sideswiped	--	--	Past	--	N/A	No	null	-1.0	-1	sideswipe	false
does	Auxilary	--	Present	--	Third	No	false	0.072329	132	doe	true
tasselled	--	--	Past	--	N/A	No	null	3.6E-5	49876	tassel	false
mooed	--	--	Past	--	N/A	No	null	-1.0	-1	moo	false
rewritten	--	--	--	--	N/A	No	null	1.79E-4	21782	rewritt	false
plebeianised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	plebeianise	false
vulcanize	--	Transitive	--	--	N/A	No	null	-1.0	-1	vulcane	false
modifying	--	--	Present	--	N/A	No	null	3.22E-4	15399	modifie	false
redissolving	--	--	Present	--	N/A	No	null	-1.0	-1	redissolv	false
quiz	--	Transitive	--	--	N/A	No	null	5.71E-4	10744	quiz	false
dodge	--	Intransitive	--	--	N/A	No	null	2.61E-4	17489	dodge	false
resynthesizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	resynthese	false
consolidate	--	Ambitransitive	--	--	N/A	No	null	4.26E-4	12899	consolidate	false
presupplying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	presupplie	false
pupate	--	Intransitive	--	--	N/A	No	null	1.2E-5	81178	pupate	false
preopen	--	Transitive	--	--	N/A	No	null	-1.0	-1	preop	false
unmuffled	--	--	Past	--	N/A	No	null	-1.0	-1	unmuffl	false
tubbed	--	--	Past	--	N/A	No	null	-1.0	-1	tub	false
predamaging	--	Transitive	Present	--	N/A	No	null	-1.0	-1	dam	false
unbonnet	--	--	--	--	N/A	No	null	-1.0	-1	unbonnet	false
lobbed	--	--	Past	--	N/A	No	null	6.5E-5	37484	lob	false
misrepresent	--	Transitive	--	--	N/A	No	null	3.7E-5	48862	misrepres	false
astrogated	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	astrogate	false
quit	--	Transitive	--	--	N/A	No	null	9.61E-4	7545	quit	false
minuting	--	--	Present	--	N/A	No	null	-1.0	-1	minute	false
pluck	--	Transitive	--	--	N/A	No	null	1.79E-4	21811	pluck	false
Jew	--	Transitive	--	--	N/A	No	null	-1.0	-1	jew	false
quip	--	--	--	--	N/A	No	null	6.2E-5	38199	quip	false
bescreen	--	Transitive	--	--	N/A	No	null	-1.0	-1	bescre	false
miscall	--	Transitive	--	--	N/A	No	null	-1.0	-1	call	false
laminate	--	Transitive	--	--	N/A	No	null	5.1E-5	42604	laminate	false
reperusing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	peruse	false
exhuming	--	Transitive	Present	--	N/A	No	null	-1.0	-1	exhume	false
overscrub	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	overscrub	false
circulated	--	--	Past	--	N/A	No	null	6.77E-4	9593	circulate	false
penalising	--	Transitive	Present	--	N/A	No	null	4.0E-5	47324	penalise	false
bias	--	Transitive	--	--	N/A	No	null	0.001496	5548	bia	false
fume	--	Intransitive	--	--	N/A	No	null	7.2E-5	35591	fume	false
redeclaring	--	Transitive	Present	--	N/A	No	null	-1.0	-1	declare	false
traversed	--	--	Past	--	N/A	No	null	1.45E-4	24545	travers	false
superpraise	--	Transitive	--	--	N/A	No	null	-1.0	-1	praise	false
acquired	--	Transitive	Past	--	N/A	No	null	0.00425	2483	acquir	false
misgauged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	misgaug	false
sleuth	--	Transitive	--	--	N/A	No	null	3.6E-5	49719	sleuth	false
angulate	--	tran=np	--	--	N/A	No	null	-1.0	-1	angulate	false
doff	--	Transitive	--	--	N/A	No	null	-1.0	-1	doff	false
decoke	--	Transitive	--	--	N/A	No	null	-1.0	-1	coke	false
fossick	--	Intransitive	--	--	N/A	No	null	-1.0	-1	fossick	false
interrelating	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	interrelate	false
scollop	--	--	--	--	N/A	No	null	-1.0	-1	scollop	false
heel-and-toe	--	Intransitive	--	--	N/A	No	null	-1.0	-1	heel	false
district	--	Transitive	--	--	N/A	No	null	0.008359	1303	district	false
hyperbolized	--	--	Past	--	N/A	No	null	-1.0	-1	bole	false
predestine	--	Transitive	--	--	N/A	No	null	-1.0	-1	destine	false
full	--	Ambitransitive	--	--	N/A	No	null	0.029247	307	full	false
buzz off	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	buzz off	false
centrifugalize	--	Transitive	--	--	N/A	No	null	-1.0	-1	centrifugale	false
battledore	--	--	--	--	N/A	No	null	-1.0	-1	battledore	false
unberth	--	Transitive	--	--	N/A	No	null	-1.0	-1	berth	false
readjudicated	--	--	Past	--	N/A	No	null	-1.0	-1	adjudicate	false
heckling	--	--	--	--	N/A	No	null	3.4E-5	51081	heck	false
outbrag	--	Transitive	--	--	N/A	No	null	-1.0	-1	outbrag	false
flummox	--	Transitive	--	--	N/A	No	null	-1.0	-1	flummox	false
inflame	--	Transitive	--	--	N/A	No	null	3.6E-5	50147	flame	false
outbray	--	Transitive	--	--	N/A	No	null	-1.0	-1	outbray	false
redrawing	--	--	Present	--	N/A	No	null	3.9E-5	48181	redrawe	false
reenslaving	--	Transitive	Present	--	N/A	No	null	-1.0	-1	enslave	false
upraised	--	Transitive	Past	--	N/A	No	null	3.9E-5	47729	uprais	false
loopholing	--	--	--	--	N/A	No	null	-1.0	-1	loopho	false
power-sawn	--	Transitive	--	--	N/A	No	null	-1.0	-1	power	false
manage	--	Intransitive	--	--	N/A	No	null	0.004306	2456	manage	false
fund	--	Transitive	--	--	N/A	No	null	0.00674	1611	fund	false
prerevenging	--	Transitive	Present	--	N/A	No	null	-1.0	-1	prereveng	false
hero-worshiped	--	Transitive	Past	--	N/A	No	null	-1.0	-1	hero-worshipe	false
divulgated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	divulgate	false
funk	--	Transitive	--	--	N/A	No	null	1.4E-4	24950	funk	false
imitated	--	Transitive	Past	--	N/A	No	null	1.36E-4	25439	imitate	false
mesmerize	--	Transitive	--	--	N/A	No	null	-1.0	-1	mesmere	false
incur	--	Transitive	--	--	N/A	No	null	3.42E-4	14827	incur	false
plump	--	Intransitive	--	--	N/A	No	null	6.08E-4	10315	plump	false
louse	--	Transitive	--	--	N/A	No	null	5.2E-5	42039	louse	false
cabbage	--	--	--	--	N/A	No	null	3.84E-4	13759	cab	false
quick-ffrozen	--	Transitive	--	--	N/A	No	null	-1.0	-1	quick-ffroze	false
plume	--	Transitive	--	--	N/A	No	null	1.56E-4	23517	plume	false
vitrify	--	tran=np	--	--	N/A	No	null	-1.0	-1	vitrify	false
cudgelling	--	--	--	--	N/A	No	null	-1.0	-1	cudgel	false
dazing	--	--	Present	--	N/A	No	null	-1.0	-1	daze	false
sypher	--	Transitive	--	--	N/A	No	null	-1.0	-1	syph	false
inthralling	--	Transitive	--	--	N/A	No	null	-1.0	-1	inthral	false
truncate	--	Transitive	--	--	N/A	No	null	-1.0	-1	truncate	false
misquoting	--	--	Present	--	N/A	No	null	-1.0	-1	misquot	false
premise	--	tran=np+tran=fincomp(t)	--	--	N/A	No	null	3.72E-4	14033	premise	false
rivetting	--	--	Present	--	N/A	No	null	-1.0	-1	rivet	false
tenant	--	Ambitransitive	--	--	N/A	No	null	0.002697	3569	t	false
outbridged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outbridg	false
bide	--	Transitive	--	--	N/A	No	null	6.1E-5	38858	bide	false
outchasing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outchase	false
disentwine	--	--	--	--	N/A	No	null	-1.0	-1	disentwine	false
plunk	--	--	--	--	N/A	No	null	-1.0	-1	plunk	false
liquated	--	--	Past	--	N/A	No	null	-1.0	-1	liquat	false
indispose	--	Transitive	--	--	N/A	No	null	-1.0	-1	dispose	false
whimper	--	Intransitive	--	--	N/A	No	null	9.7E-5	30699	whimp	false
provide	--	Intransitive	--	--	N/A	No	null	0.023486	410	provide	false
astringed	--	Transitive	Past	--	N/A	No	null	-1.0	-1	astr	false
troat	--	Intransitive	--	--	N/A	No	null	-1.0	-1	troat	false
