Word,VerbType,Transivity,Tense,Aspect,Person,Phrasal,IsInfinitive
reform,--,Transitive,--,--,N/A,No,null
remit,--,tran=np+ditran=np,np+ditran=np+pphr(to+np),--,--,N/A,No,null
mythified,--,Transitive,Past,--,N/A,No,null
ensue,--,Intransitive,--,--,N/A,No,null
administrate,--,tran=np,--,--,N/A,No,null
overattenuate,--,Transitive,--,--,N/A,No,null
coach,--,Transitive,--,--,N/A,No,null
remix,--,tran=np+tran=np;part(in)+tran=pphr(with+np)+ditran=np+pphr(for+np);datmvt+ditran=np+pphr(with+np),--,--,N/A,No,null
obelised,--,Transitive,Past,--,N/A,No,null
woman,--,Transitive,--,--,N/A,No,null
pellet,--,Transitive,--,--,N/A,No,null
podsolize,--,Ambitransitive,--,--,N/A,No,null
roquet,--,--,--,--,N/A,No,null
zugzwang,--,Transitive,--,--,N/A,No,null
instantiate,--,Transitive,--,--,N/A,No,null
tin-plating,--,Transitive,--,--,N/A,No,null
buckler,--,Transitive,--,--,N/A,No,null
predesign,--,Transitive,--,--,N/A,No,null
put on,--,Transitive,--,--,N/A,Seperable,null
surname,--,Transitive,--,--,N/A,No,null
magnetized,--,Transitive,Past,--,N/A,No,null
prestruggled,--,Intransitive,Past,--,N/A,No,null
unpedestaling,--,Transitive,--,--,N/A,No,null
avail,--,tran=pphr(against+np);nopass+ditran=np+pphr(of+np);nopass+ditran=np,np,--,--,N/A,No,null
preaverred,--,Transitive,Past,--,N/A,No,null
impoverish,--,Transitive,--,--,N/A,No,null
vaccinating,--,--,--,--,N/A,No,null
overdiscouraged,--,Transitive,Past,--,N/A,No,null
nibbing,--,--,--,--,N/A,No,null
contemporizing,--,--,--,--,N/A,No,null
misspend,--,tran=np,--,--,N/A,No,null
preentail,--,Transitive,--,--,N/A,No,null
reequip,--,Transitive,--,--,N/A,No,null
resurrect,--,Transitive,--,--,N/A,No,null
incuse,--,--,--,--,N/A,No,null
illegitimatise,--,Transitive,--,--,N/A,No,null
preconcert,--,Transitive,--,--,N/A,No,null
reoperating,--,Transitive,--,--,N/A,No,null
smudging,--,--,--,--,N/A,No,null
grudged,--,--,Past,--,N/A,No,null
outcourt,--,Transitive,--,--,N/A,No,null
quack,--,Intransitive,--,--,N/A,No,null
befalling,--,--,--,--,N/A,No,null
botanised,--,Intransitive,Past,--,N/A,No,null
deseam,--,Transitive,--,--,N/A,No,null
emblematise,--,Transitive,--,--,N/A,No,null
friction-sawing,--,Transitive,--,--,N/A,No,null
ceasing,--,--,--,--,N/A,No,null
timed,--,--,Past,--,N/A,No,null
trichinising,--,Transitive,--,--,N/A,No,null
burglarise,--,Ambitransitive,--,--,N/A,No,null
chapeled,--,--,Past,--,N/A,No,null
empaneled,--,Transitive,Past,--,N/A,No,null
devising,--,--,--,--,N/A,No,null
pretempt,--,Transitive,--,--,N/A,No,null
mystifying,--,Transitive,--,--,N/A,No,null
underjudged,--,Transitive,Past,--,N/A,No,null
bename,--,--,--,--,N/A,No,null
circumstanced,--,--,Past,--,N/A,No,null
prelimitate,--,Transitive,--,--,N/A,No,null
mapped,--,--,Past,--,N/A,No,null
convolving,--,Intransitive,--,--,N/A,No,null
preconcern,--,Transitive,--,--,N/A,No,null
aluminised,--,Transitive,Past,--,N/A,No,null
outbringing,--,Transitive,--,--,N/A,No,null
promulge,--,Transitive,--,--,N/A,No,null
desilverized,--,Transitive,Past,--,N/A,No,null
became,--,--,--,--,N/A,No,null
carburetted,--,Transitive,Past,--,N/A,No,null
fatted,--,--,Past,--,N/A,No,null
spliced,--,--,Past,--,N/A,No,null
retaping,--,Transitive,--,--,N/A,No,null
blindfold,--,Transitive,--,--,N/A,No,null
pretell,--,--,--,--,N/A,No,null
misinferring,--,--,--,--,N/A,No,null
muscle,--,Intransitive,--,--,N/A,No,null
flux,--,Transitive,--,--,N/A,No,null
go about,--,Intransitive,--,--,N/A,Seperable,null
becalm,--,Transitive,--,--,N/A,No,null
trephining,--,--,--,--,N/A,No,null
interwhistle,--,Transitive,--,--,N/A,No,null
antagonised,--,Ambitransitive,Past,--,N/A,No,null
immured,--,Transitive,Past,--,N/A,No,null
overlubricate,--,Transitive,--,--,N/A,No,null
flub,--,Ambitransitive,--,--,N/A,No,null
rethank,--,Transitive,--,--,N/A,No,null
mislabeled,--,Transitive,Past,--,N/A,No,null
frazed,--,Transitive,Past,--,N/A,No,null
overactivate,--,Transitive,--,--,N/A,No,null
overmobilize,--,--,--,--,N/A,No,null
incardinate,--,Transitive,--,--,N/A,No,null
mispronounce,--,tran=np,--,--,N/A,No,null
reding,--,--,--,--,N/A,No,null
conducing,--,Intransitive,--,--,N/A,No,null
harness,--,Transitive,--,--,N/A,No,null
sketch,--,Transitive,--,--,N/A,No,null
unbuild,--,Transitive,--,--,N/A,No,null
empaled,--,Transitive,Past,--,N/A,No,null
fatten,--,Transitive,--,--,N/A,No,null
disfigured,--,Transitive,Past,--,N/A,No,null
strum,--,tran=np+tran=pphr(on+np),--,--,N/A,No,null
reattired,--,Transitive,Past,--,N/A,No,null
marver,--,Transitive,--,--,N/A,No,null
circumscribed,--,Transitive,Past,--,N/A,No,null
autotomizing,--,--,--,--,N/A,No,null
disenthroning,--,Transitive,--,--,N/A,No,null
overflogging,--,Transitive,--,--,N/A,No,null
recatalogue,--,Transitive,--,--,N/A,No,null
hemorrhaging,--,--,--,--,N/A,No,null
rectify,--,tran=np,--,--,N/A,No,null
subsoil,--,Transitive,--,--,N/A,No,null
reassert,--,Transitive,--,--,N/A,No,null
styling,--,--,--,--,N/A,No,null
palsy,--,Transitive,--,--,N/A,No,null
recapitalized,--,Transitive,Past,--,N/A,No,null
strut,--,Transitive,--,--,N/A,No,null
outbellow,--,Transitive,--,--,N/A,No,null
defined,--,Transitive,Past,--,N/A,No,null
motorcycling,--,--,--,--,N/A,No,null
reflectorized,--,Transitive,Past,--,N/A,No,null
cabbing,--,--,--,--,N/A,No,null
riling,--,Transitive,--,--,N/A,No,null
individuating,--,Transitive,--,--,N/A,No,null
preresolve,--,--,--,--,N/A,No,null
metricising,--,Transitive,--,--,N/A,No,null
infatuating,--,--,--,--,N/A,No,null
reinflate,--,tran=np,--,--,N/A,No,null
creating,--,--,--,--,N/A,No,null
footle,--,Intransitive,--,--,N/A,No,null
infringe,--,Ambitransitive,--,--,N/A,No,null
restipulate,--,--,--,--,N/A,No,null
furcated,--,--,Past,--,N/A,No,null
hyperimmunized,--,Transitive,Past,--,N/A,No,null
misadvised,--,Transitive,Past,--,N/A,No,null
reverifying,--,Transitive,--,--,N/A,No,null
paraffined,--,Transitive,Past,--,N/A,No,null
starve,--,Intransitive,--,--,N/A,No,null
anticked,--,--,Past,--,N/A,No,null
outpass,--,Transitive,--,--,N/A,No,null
counterchange,--,Transitive,--,--,N/A,No,null
rusticated,--,--,Past,--,N/A,No,null
eternalized,--,Transitive,Past,--,N/A,No,null
labialising,--,Transitive,--,--,N/A,No,null
outeate,--,Transitive,--,--,N/A,No,null
replated,--,Transitive,Past,--,N/A,No,null
unsheathing,--,Transitive,--,--,N/A,No,null
turkey-trot,--,Intransitive,--,--,N/A,No,null
decarboxylating,--,Transitive,--,--,N/A,No,null
sectarianizing,--,Transitive,--,--,N/A,No,null
debagged,--,Transitive,Past,--,N/A,No,null
torture,--,Transitive,--,--,N/A,No,null
underballast,--,Transitive,--,--,N/A,No,null
burglarize,--,Transitive,--,--,N/A,No,null
decrypt,--,Transitive,--,--,N/A,No,null
reassess,--,Transitive,--,--,N/A,No,null
variegate,--,Transitive,--,--,N/A,No,null
Tempel,--,Ambitransitive,--,--,N/A,No,null
slapped,--,--,Past,--,N/A,No,null
marring,--,Transitive,--,--,N/A,No,null
boweling,--,--,--,--,N/A,No,null
overtheorize,--,Intransitive,--,--,N/A,No,null
presaged,--,--,Past,--,N/A,No,null
whetted,--,--,Past,--,N/A,No,null
glare,--,Intransitive,--,--,N/A,No,null
laryngectomizing,--,Transitive,--,--,N/A,No,null
overobjectifying,--,Transitive,--,--,N/A,No,null
impinging,--,--,--,--,N/A,No,null
discountenancing,--,--,--,--,N/A,No,null
stencil,--,Transitive,--,--,N/A,No,null
peroxidized,--,Ambitransitive,Past,--,N/A,No,null
budget,--,Ambitransitive,--,--,N/A,No,null
tuberculinize,--,Ambitransitive,--,--,N/A,No,null
bastardised,--,Ambitransitive,Past,--,N/A,No,null
glass,--,Transitive,--,--,N/A,No,null
constipate,--,Transitive,--,--,N/A,No,null
tape-record,--,Transitive,--,--,N/A,No,null
deep-draw,--,Transitive,--,--,N/A,No,null
rearose,--,Intransitive,--,--,N/A,No,null
facetting,--,--,--,--,N/A,No,null
trisect,--,Transitive,--,--,N/A,No,null
misfitting,--,--,--,--,N/A,No,null
redound,--,Intransitive,--,--,N/A,No,null
tart up,--,Transitive,--,--,N/A,NotSeperable,null
assume,--,Transitive,--,--,N/A,No,null
de-emphasizing,--,Transitive,--,--,N/A,No,null
jiggle,--,tran=np,--,--,N/A,No,null
brasque,--,Transitive,--,--,N/A,No,null
intercede,--,Intransitive,--,--,N/A,No,null
consonantized,--,Ambitransitive,Past,--,N/A,No,null
opacifying,--,--,--,--,N/A,No,null
obscuration,--,Transitive,--,--,N/A,No,null
hitch,--,Ambitransitive,--,--,N/A,No,null
intermazing,--,Transitive,--,--,N/A,No,null
decompound,--,Transitive,--,--,N/A,No,null
imbruing,--,Transitive,--,--,N/A,No,null
restrung,--,--,--,--,N/A,No,null
unstate,--,Transitive,--,--,N/A,No,null
expostulated,--,Intransitive,Past,--,N/A,No,null
automatize,--,tran=np,--,--,N/A,No,null
recopied,--,Transitive,Past,--,N/A,No,null
vellicate,--,--,--,--,N/A,No,null
stubbed,--,--,Past,--,N/A,No,null
brutalizing,--,Ambitransitive,--,--,N/A,No,null
budged,--,--,Past,--,N/A,No,null
resshot,--,--,--,--,N/A,No,null
preverifying,--,Transitive,--,--,N/A,No,null
marvel,--,tran=pphr(at+np)+tran=pphr(at+whfincomp)+tran=fincomp(o),--,--,N/A,No,null
purpled,--,--,Past,--,N/A,No,null
delated,--,Transitive,Past,--,N/A,No,null
illuminated,--,--,Past,--,N/A,No,null
debruising,--,Transitive,--,--,N/A,No,null
overgird,--,Transitive,--,--,N/A,No,null
underachieve,--,Intransitive,--,--,N/A,No,null
enfranchise,--,Transitive,--,--,N/A,No,null
reaffront,--,Transitive,--,--,N/A,No,null
shot-peen,--,Transitive,--,--,N/A,No,null
stylise,--,Transitive,--,--,N/A,No,null
buttstrap,--,--,--,--,N/A,No,null
intercharge,--,Transitive,--,--,N/A,No,null
funnel,--,tran=np+cplxtran=np,advbl,--,--,N/A,No,null
air-slaked,--,Transitive,Past,--,N/A,No,null
constellated,--,Intransitive,Past,--,N/A,No,null
strummed,--,--,Past,--,N/A,No,null
regulate,--,Transitive,--,--,N/A,No,null
overillustrate,--,Transitive,--,--,N/A,No,null
fuddled,--,--,Past,--,N/A,No,null
precompress,--,Transitive,--,--,N/A,No,null
unblock,--,Transitive,--,--,N/A,No,null
stockpiling,--,--,--,--,N/A,No,null
prenominating,--,--,--,--,N/A,No,null
chiseled,--,--,Past,--,N/A,No,null
enter,--,Ambitransitive,--,--,N/A,No,null
funned,--,--,Past,--,N/A,No,null
inshrine,--,--,--,--,N/A,No,null
third-degree,--,Transitive,--,--,N/A,No,null
rebandage,--,Transitive,--,--,N/A,No,null
predepleted,--,Transitive,Past,--,N/A,No,null
overpronounce,--,Ambitransitive,--,--,N/A,No,null
overgilt,--,Transitive,--,--,N/A,No,null
outpoint,--,Transitive,--,--,N/A,No,null
understeer,--,Transitive,--,--,N/A,No,null
coast,--,Intransitive,--,--,N/A,No,null
alliterated,--,--,Past,--,N/A,No,null
feted,--,--,Past,--,N/A,No,null
overgild,--,Transitive,--,--,N/A,No,null
canceling,--,--,--,--,N/A,No,null
replunge,--,--,--,--,N/A,No,null
planned,--,--,Past,--,N/A,No,null
precharging,--,Transitive,--,--,N/A,No,null
assure,--,Transitive,--,--,N/A,No,null
predelude,--,Transitive,--,--,N/A,No,null
preconvincing,--,Transitive,--,--,N/A,No,null
dehumanize,--,Transitive,--,--,N/A,No,null
toppling,--,--,--,--,N/A,No,null
bandies,--,--,--,--,N/A,No,null
overdedicating,--,Transitive,--,--,N/A,No,null
lock out,--,Transitive,--,--,N/A,NotSeperable,null
subsort,--,--,--,--,N/A,No,null
evince,--,Transitive,--,--,N/A,No,null
Moosic,--,Transitive,--,--,N/A,No,null
fetch,--,Ambitransitive,--,--,N/A,No,null
Sovietise,--,Transitive,--,--,N/A,No,null
uncaking,--,Transitive,--,--,N/A,No,null
paganising,--,Ambitransitive,--,--,N/A,No,null
subdemonstrated,--,Transitive,Past,--,N/A,No,null
compact,--,Transitive,--,--,N/A,No,null
readdress,--,Transitive,--,--,N/A,No,null
colonizing,--,--,--,--,N/A,No,null
pistol-whip,--,--,--,--,N/A,No,null
daresay,--,Intransitive,--,--,N/A,No,null
remagnetized,--,Transitive,Past,--,N/A,No,null
totting,--,--,--,--,N/A,No,null
outlined,--,--,Past,--,N/A,No,null
preoutfitted,--,Transitive,Past,--,N/A,No,null
expunged,--,Transitive,Past,--,N/A,No,null
bandied,--,--,Past,--,N/A,No,null
reassent,--,Intransitive,--,--,N/A,No,null
cavilled,--,--,Past,--,N/A,No,null
stylize,--,Transitive,--,--,N/A,No,null
glair,--,Transitive,--,--,N/A,No,null
subinform,--,Transitive,--,--,N/A,No,null
womanising,--,Ambitransitive,--,--,N/A,No,null
about-shipping,--,Intransitive,--,--,N/A,No,null
decarbonylate,--,Transitive,--,--,N/A,No,null
precognized,--,Transitive,Past,--,N/A,No,null
preconceal,--,Transitive,--,--,N/A,No,null
triangulated,--,--,Past,--,N/A,No,null
undressing,--,--,--,--,N/A,No,null
channeled,--,--,Past,--,N/A,No,null
preconcede,--,Transitive,--,--,N/A,No,null
warstling,--,Intransitive,--,--,N/A,No,null
reconsolidating,--,--,--,--,N/A,No,null
signalizing,--,Transitive,--,--,N/A,No,null
shilly-shallied,--,--,Past,--,N/A,No,null
lyricized,--,--,Past,--,N/A,No,null
envision,--,Transitive,--,--,N/A,No,null
revaporized,--,--,Past,--,N/A,No,null
modulated,--,--,Past,--,N/A,No,null
finger-paint,--,Ambitransitive,--,--,N/A,No,null
vituperate,--,Transitive,--,--,N/A,No,null
shilly-shallies,--,--,--,--,N/A,No,null
cursing,--,--,--,--,N/A,No,null
implead,--,Transitive,--,--,N/A,No,null
preimproving,--,Transitive,--,--,N/A,No,null
revenge,--,Transitive,--,--,N/A,No,null
crescendo,--,Intransitive,--,--,N/A,No,null
noticing,--,--,--,--,N/A,No,null
incarnalized,--,Transitive,Past,--,N/A,No,null
ratifying,--,Transitive,--,--,N/A,No,null
spruced,--,--,Past,--,N/A,No,null
overgeneralize,--,Transitive,--,--,N/A,No,null
overtook,--,--,--,--,N/A,No,null
classicizing,--,--,--,--,N/A,No,null
exonerated,--,Transitive,Past,--,N/A,No,null
ferrotyping,--,--,--,--,N/A,No,null
pacificate,--,Transitive,--,--,N/A,No,null
shrug off,--,Transitive,--,--,N/A,Seperable,null
underpropping,--,Transitive,--,--,N/A,No,null
keynoting,--,--,--,--,N/A,No,null
underline,--,Transitive,--,--,N/A,No,null
reinvolve,--,Transitive,--,--,N/A,No,null
fractionated,--,Transitive,Past,--,N/A,No,null
exuding,--,--,--,--,N/A,No,null
dry-nursed,--,Transitive,Past,--,N/A,No,null
paled,--,--,Past,--,N/A,No,null
regrated,--,Transitive,Past,--,N/A,No,null
Occidentalize,--,Transitive,--,--,N/A,No,null
strew,--,tran=np;part(about)+tran=np;part(around)+ditran=np+pphr(in+np)+ditran=np+pphr(on+np)+ditran=np+pphr(with+np)+ditran=np+pphr(over+np),--,--,N/A,No,null
excogitate,--,Transitive,--,--,N/A,No,null
reimaged,--,Transitive,Past,--,N/A,No,null
overtoil,--,--,--,--,N/A,No,null
percolated,--,--,Past,--,N/A,No,null
underwind,--,Transitive,--,--,N/A,No,null
prejudiced,--,--,Past,--,N/A,No,null
interconvert,--,Transitive,--,--,N/A,No,null
overshrink,--,--,--,--,N/A,No,null
