Word,VerbType,Transivity,Tense,Aspect,Person,Phrasal,IsInfinitive
slash-sawing,--,Transitive,--,--,N/A,No,null
regraded,--,Transitive,Past,--,N/A,No,null
magnified,--,--,Past,--,N/A,No,null
dechloridize,--,Transitive,--,--,N/A,No,null
enucleating,--,--,--,--,N/A,No,null
prefinance,--,Transitive,--,--,N/A,No,null
authenticate,--,Transitive,--,--,N/A,No,null
confabulated,--,Intransitive,Past,--,N/A,No,null
whapped,--,Ambitransitive,Past,--,N/A,No,null
phosphorising,--,Transitive,--,--,N/A,No,null
concede,--,Transitive,--,--,N/A,No,null
syntonise,--,Transitive,--,--,N/A,No,null
cinchonizing,--,Transitive,--,--,N/A,No,null
have at,--,Intransitive,--,--,N/A,Seperable,null
outpromising,--,Transitive,--,--,N/A,No,null
sulfonate,--,Transitive,--,--,N/A,No,null
decentralised,--,Transitive,Past,--,N/A,No,null
wreak,--,Transitive,--,--,N/A,No,null
preinterceding,--,Intransitive,--,--,N/A,No,null
commission,--,Transitive,--,--,N/A,No,null
connect,--,Ambitransitive,--,--,N/A,No,null
rescind,--,Transitive,--,--,N/A,No,null
overmultiplied,--,--,Past,--,N/A,No,null
shingled,--,Transitive,Past,--,N/A,No,null
tatter,--,tran=np,--,--,N/A,No,null
preemploy,--,Transitive,--,--,N/A,No,null
interlope,--,Intransitive,--,--,N/A,No,null
violating,--,Transitive,--,--,N/A,No,null
wiving,--,--,--,--,N/A,No,null
reincur,--,Transitive,--,--,N/A,No,null
throbbed,--,--,Past,--,N/A,No,null
plumed,--,--,Past,--,N/A,No,null
bubbling,--,--,--,--,N/A,No,null
interloop,--,Transitive,--,--,N/A,No,null
vasectomizing,--,Transitive,--,--,N/A,No,null
gold-plated,--,Transitive,Past,--,N/A,No,null
kick-start,--,--,--,--,N/A,No,null
trichinise,--,Transitive,--,--,N/A,No,null
concertized,--,Intransitive,Past,--,N/A,No,null
choreograph,--,Transitive,--,--,N/A,No,null
repaved,--,Transitive,Past,--,N/A,No,null
infuriated,--,--,Past,--,N/A,No,null
crib-bitten,--,Intransitive,--,--,N/A,No,null
dibbing,--,Intransitive,--,--,N/A,No,null
epimerized,--,Transitive,Past,--,N/A,No,null
sterilised,--,Transitive,Past,--,N/A,No,null
instil,--,Transitive,--,--,N/A,No,null
tattle,--,Intransitive,--,--,N/A,No,null
dispraise,--,Transitive,--,--,N/A,No,null
cinder,--,Transitive,--,--,N/A,No,null
fantasy,--,tran=np,--,--,N/A,No,null
iodate,--,Transitive,--,--,N/A,No,null
bewwept,--,Transitive,--,--,N/A,No,null
deform,--,Transitive,--,--,N/A,No,null
abated,--,--,Past,--,N/A,No,null
disguised,--,--,Past,--,N/A,No,null
sidetrack,--,tran=np,--,--,N/A,No,null
resensitize,--,Transitive,--,--,N/A,No,null
syntonize,--,Transitive,--,--,N/A,No,null
owed,--,--,Past,--,N/A,No,null
caracoling,--,--,--,--,N/A,No,null
blotted,--,--,Past,--,N/A,No,null
kitting,--,--,--,--,N/A,No,null
embezzle,--,tran=np,--,--,N/A,No,null
desulphurise,--,Transitive,--,--,N/A,No,null
preconjecture,--,Transitive,--,--,N/A,No,null
beshrew,--,Transitive,--,--,N/A,No,null
bestridden,--,Transitive,--,--,N/A,No,null
impanelled,--,Transitive,Past,--,N/A,No,null
flannel,--,Transitive,--,--,N/A,No,null
motivate,--,Transitive,--,--,N/A,No,null
assuaging,--,Transitive,--,--,N/A,No,null
immolate,--,Transitive,--,--,N/A,No,null
academised,--,Transitive,Past,--,N/A,No,null
beneficiated,--,Transitive,Past,--,N/A,No,null
metallise,--,Transitive,--,--,N/A,No,null
preexperiencing,--,Transitive,--,--,N/A,No,null
mythopoetized,--,Intransitive,Past,--,N/A,No,null
mythicizing,--,Transitive,--,--,N/A,No,null
tweet,--,Intransitive,--,--,N/A,No,null
requite,--,Transitive,--,--,N/A,No,null
work up,--,Transitive,--,--,N/A,NotSeperable,null
gen up,--,--,--,--,N/A,NotSeperable,null
populate,--,Transitive,--,--,N/A,No,null
allegorize,--,Transitive,--,--,N/A,No,null
preaccusing,--,Transitive,--,--,N/A,No,null
permit,--,Transitive,--,--,N/A,No,null
curarizing,--,Transitive,--,--,N/A,No,null
intercurl,--,--,--,--,N/A,No,null
radiotelephoned,--,--,Past,--,N/A,No,null
romance,--,Intransitive,--,--,N/A,No,null
cored,--,--,Past,--,N/A,No,null
bereaved,--,Transitive,Past,--,N/A,No,null
impeach,--,Transitive,--,--,N/A,No,null
catalog,--,Ambitransitive,--,--,N/A,No,null
syllabise,--,Transitive,--,--,N/A,No,null
broadsided,--,--,Past,--,N/A,No,null
palter,--,Intransitive,--,--,N/A,No,null
bromated,--,--,Past,--,N/A,No,null
conjecture,--,tran=fincomp(tp)+cplxtran=np,infcomp:objc,--,--,N/A,No,null
overwhip,--,Transitive,--,--,N/A,No,null
struck,--,--,--,--,N/A,No,null
kidnaped,--,Transitive,Past,--,N/A,No,null
braking,--,--,--,--,N/A,No,null
misappraise,--,Transitive,--,--,N/A,No,null
conceit,--,Transitive,--,--,N/A,No,null
obturate,--,Transitive,--,--,N/A,No,null
dispeopled,--,Transitive,Past,--,N/A,No,null
redeliberating,--,--,--,--,N/A,No,null
fallow,--,Transitive,--,--,N/A,No,null
chapped,--,--,Past,--,N/A,No,null
castrated,--,Transitive,Past,--,N/A,No,null
chirruped,--,--,Past,--,N/A,No,null
outdazzling,--,Transitive,--,--,N/A,No,null
foraging,--,--,--,--,N/A,No,null
preobligating,--,Transitive,--,--,N/A,No,null
scrag,--,tran=np,--,--,N/A,No,null
scram,--,--,--,--,N/A,No,null
scrap,--,Transitive,--,--,N/A,No,null
enliven,--,Transitive,--,--,N/A,No,null
iterated,--,Transitive,Past,--,N/A,No,null
carbonising,--,Transitive,--,--,N/A,No,null
rewound,--,Transitive,--,--,N/A,No,null
hocused,--,Transitive,Past,--,N/A,No,null
irrationalize,--,Transitive,--,--,N/A,No,null
hoppling,--,Transitive,--,--,N/A,No,null
red-pencilling,--,Transitive,--,--,N/A,No,null
disable,--,Transitive,--,--,N/A,No,null
babbling,--,--,--,--,N/A,No,null
misquote,--,tran=np,--,--,N/A,No,null
instal,--,Transitive,--,--,N/A,No,null
Robbinsdale,--,Ambitransitive,--,--,N/A,No,null
calcimined,--,--,Past,--,N/A,No,null
aggrandized,--,Transitive,Past,--,N/A,No,null
overcropping,--,--,--,--,N/A,No,null
disapproved,--,--,Past,--,N/A,No,null
overdramatize,--,--,--,--,N/A,No,null
including,--,Transitive,--,--,N/A,No,null
quipped,--,--,Past,--,N/A,No,null
scrimshaw,--,tran=np,--,--,N/A,No,null
summarizing,--,Transitive,--,--,N/A,No,null
alluding,--,Intransitive,--,--,N/A,No,null
driftbolt,--,Transitive,--,--,N/A,No,null
soldier on,--,Intransitive,--,--,N/A,NotSeperable,null
hewing,--,--,--,--,N/A,No,null
yo-ho,--,Intransitive,--,--,N/A,No,null
renationalizing,--,--,--,--,N/A,No,null
overmeddled,--,Intransitive,Past,--,N/A,No,null
unfeminising,--,Transitive,--,--,N/A,No,null
predefining,--,Transitive,--,--,N/A,No,null
backstab,--,Transitive,--,--,N/A,No,null
iarovized,--,Transitive,Past,--,N/A,No,null
bevelling,--,--,--,--,N/A,No,null
briquetted,--,--,Past,--,N/A,No,null
recolonise,--,Transitive,--,--,N/A,No,null
jelly,--,--,--,--,N/A,No,null
come-on,--,--,--,--,N/A,No,null
atom-bomb,--,Ambitransitive,--,--,N/A,No,null
syllabize,--,Transitive,--,--,N/A,No,null
masculinize,--,Transitive,--,--,N/A,No,null
stable,--,tran=np,--,--,N/A,No,null
reliving,--,--,--,--,N/A,No,null
resecured,--,--,Past,--,N/A,No,null
respond,--,Intransitive,--,--,N/A,No,null
interlock,--,tran=pphr(with+np)+ditran=np+pphr(with+np),--,--,N/A,No,null
commingling,--,Ambitransitive,--,--,N/A,No,null
clamour,--,Intransitive,--,--,N/A,No,null
concert,--,--,--,--,N/A,No,null
preindemnify,--,Transitive,--,--,N/A,No,null
indemnifying,--,Transitive,--,--,N/A,No,null
overimitating,--,Transitive,--,--,N/A,No,null
arousing,--,--,--,--,N/A,No,null
concern,--,Transitive,--,--,N/A,No,null
kneeing,--,--,--,--,N/A,No,null
premake,--,Transitive,--,--,N/A,No,null
equiponderate,--,Transitive,--,--,N/A,No,null
illuviate,--,Intransitive,--,--,N/A,No,null
redivorce,--,--,--,--,N/A,No,null
atomized,--,Transitive,Past,--,N/A,No,null
embower,--,Transitive,--,--,N/A,No,null
curl up,--,Intransitive,--,--,N/A,NotSeperable,null
embowel,--,tran=np,--,--,N/A,No,null
porrect,--,Transitive,--,--,N/A,No,null
have on,--,Transitive,--,--,N/A,Seperable,null
opacify,--,Ambitransitive,--,--,N/A,No,null
fracturing,--,--,--,--,N/A,No,null
mistyping,--,--,--,--,N/A,No,null
fleyed,--,--,Past,--,N/A,No,null
copulated,--,--,Past,--,N/A,No,null
curing,--,--,--,--,N/A,No,null
spragged,--,--,Past,--,N/A,No,null
stereotype,--,Transitive,--,--,N/A,No,null
recombining,--,--,--,--,N/A,No,null
gaggling,--,--,--,--,N/A,No,null
sulphurate,--,tran=np,--,--,N/A,No,null
resettled,--,--,Past,--,N/A,No,null
slip-stitch,--,Ambitransitive,--,--,N/A,No,null
outpacing,--,Transitive,--,--,N/A,No,null
barbequing,--,Transitive,--,--,N/A,No,null
tear,--,Ambitransitive,--,--,N/A,No,null
attack,--,Intransitive,--,--,N/A,No,null
humour,--,Transitive,--,--,N/A,No,null
outbetter,--,Transitive,--,--,N/A,No,null
philtred,--,Transitive,Past,--,N/A,No,null
knuckle down,--,Intransitive,--,--,N/A,NotSeperable,null
attach,--,Intransitive,--,--,N/A,No,null
underhorsing,--,Transitive,--,--,N/A,No,null
invigilate,--,Intransitive,--,--,N/A,No,null
monumentalised,--,Transitive,Past,--,N/A,No,null
enddamaged,--,Transitive,Past,--,N/A,No,null
masquerading,--,--,--,--,N/A,No,null
occurred,--,Intransitive,Past,--,N/A,No,null
prestudied,--,Transitive,Past,--,N/A,No,null
replaced,--,Transitive,Past,--,N/A,No,null
team,--,Ambitransitive,--,--,N/A,No,null
petted,--,--,Past,--,N/A,No,null
forswore,--,--,--,--,N/A,No,null
illegalised,--,Transitive,Past,--,N/A,No,null
red-dog,--,Ambitransitive,--,--,N/A,No,null
unthink,--,--,--,--,N/A,No,null
serviced,--,--,Past,--,N/A,No,null
forsworn,--,--,--,--,N/A,No,null
wadded,--,--,Past,--,N/A,No,null
paunch,--,--,--,--,N/A,No,null
curvetted,--,--,Past,--,N/A,No,null
overflogged,--,Transitive,Past,--,N/A,No,null
stick at,--,Intransitive,--,--,N/A,NotSeperable,null
misfocussed,--,--,Past,--,N/A,No,null
regrowing,--,--,--,--,N/A,No,null
premiering,--,--,--,--,N/A,No,null
familiarise,--,Ambitransitive,--,--,N/A,No,null
undertook,--,--,--,--,N/A,No,null
reindex,--,Transitive,--,--,N/A,No,null
hazing,--,Transitive,--,--,N/A,No,null
prosecute,--,Ambitransitive,--,--,N/A,No,null
gully,--,--,--,--,N/A,No,null
pervading,--,Transitive,--,--,N/A,No,null
misunderstand,--,tran=np,--,--,N/A,No,null
stick by,--,Intransitive,--,--,N/A,NotSeperable,null
misship,--,--,--,--,N/A,No,null
interjectionalised,--,Transitive,Past,--,N/A,No,null
glycerinating,--,Transitive,--,--,N/A,No,null
hallo,--,--,--,--,N/A,No,null
shake up,--,Transitive,--,--,N/A,Seperable,null
masthead,--,Transitive,--,--,N/A,No,null
sulphurized,--,Transitive,Past,--,N/A,No,null
underbridge,--,Transitive,--,--,N/A,No,null
prenotify,--,Transitive,--,--,N/A,No,null
hot-drawing,--,Transitive,--,--,N/A,No,null
subdemonstrating,--,Transitive,--,--,N/A,No,null
underachieved,--,Intransitive,Past,--,N/A,No,null
reacidified,--,--,Past,--,N/A,No,null
squegging,--,Intransitive,--,--,N/A,No,null
blister,--,Transitive,--,--,N/A,No,null
boggling,--,--,--,--,N/A,No,null
tinsel,--,Transitive,--,--,N/A,No,null
beneficiating,--,Transitive,--,--,N/A,No,null
handselled,--,--,Past,--,N/A,No,null
bellow,--,Intransitive,--,--,N/A,No,null
disyoked,--,Transitive,Past,--,N/A,No,null
reharden,--,--,--,--,N/A,No,null
intermingle,--,Ambitransitive,--,--,N/A,No,null
prebade,--,--,--,--,N/A,No,null
shoring,--,Transitive,--,--,N/A,No,null
interknotted,--,Ambitransitive,Past,--,N/A,No,null
anathematizing,--,--,--,--,N/A,No,null
teed,--,--,Past,--,N/A,No,null
sanitizing,--,Transitive,--,--,N/A,No,null
indwelt,--,--,--,--,N/A,No,null
rehear,--,tran=np,--,--,N/A,No,null
reheat,--,Transitive,--,--,N/A,No,null
stumbled,--,--,Past,--,N/A,No,null
unwrapped,--,--,Past,--,N/A,No,null
teem,--,Intransitive,--,--,N/A,No,null
indwell,--,Intransitive,--,--,N/A,No,null
fallen,--,--,--,--,N/A,No,null
reseat,--,Transitive,--,--,N/A,No,null
preinducing,--,Transitive,--,--,N/A,No,null
renotified,--,Transitive,Past,--,N/A,No,null
cinctured,--,--,Past,--,N/A,No,null
reseal,--,Transitive,--,--,N/A,No,null
shack up,--,Intransitive,--,--,N/A,NotSeperable,null
shuffle off,--,Transitive,--,--,N/A,NotSeperable,null
recutting,--,--,--,--,N/A,No,null
metaphysicize,--,Intransitive,--,--,N/A,No,null
imagined,--,--,Past,--,N/A,No,null
unharmonized,--,Transitive,Past,--,N/A,No,null
precopying,--,Transitive,--,--,N/A,No,null
conjugate,--,Ambitransitive,--,--,N/A,No,null
refreeze,--,tran=np,--,--,N/A,No,null
debilitated,--,Transitive,Past,--,N/A,No,null
attain,--,Ambitransitive,--,--,N/A,No,null
poussette,--,Intransitive,--,--,N/A,No,null
malleablized,--,Transitive,Past,--,N/A,No,null
windlass,--,Transitive,--,--,N/A,No,null
rebrighten,--,--,--,--,N/A,No,null
rationalised,--,Ambitransitive,Past,--,N/A,No,null
recarpet,--,Transitive,--,--,N/A,No,null
catalogued,--,--,Past,--,N/A,No,null
denunciated,--,Ambitransitive,Past,--,N/A,No,null
inlet,--,Transitive,--,--,N/A,No,null
dolly,--,tran=np,--,--,N/A,No,null
flogged,--,Transitive,Past,--,N/A,No,null
premade,--,Transitive,--,--,N/A,No,null
circling,--,--,--,--,N/A,No,null
submitting,--,--,--,--,N/A,No,null
fade-out,--,--,--,--,N/A,No,null
telescoped,--,--,Past,--,N/A,No,null
reindulged,--,--,Past,--,N/A,No,null
lightninged,--,--,Past,--,N/A,No,null
Tanglewood,--,Intransitive,--,--,N/A,No,null
deluging,--,--,--,--,N/A,No,null
preexcept,--,Transitive,--,--,N/A,No,null
carry on,--,Ambitransitive,--,--,N/A,Seperable,null
intercropping,--,--,--,--,N/A,No,null
waddle,--,Intransitive,--,--,N/A,No,null
counterpoised,--,--,Past,--,N/A,No,null
sphering,--,--,--,--,N/A,No,null
incubating,--,--,--,--,N/A,No,null
tootle,--,Intransitive,--,--,N/A,No,null
handseled,--,--,Past,--,N/A,No,null
pollinating,--,Transitive,--,--,N/A,No,null
reheel,--,Transitive,--,--,N/A,No,null
twitch,--,Intransitive,--,--,N/A,No,null
have in,--,Transitive,--,--,N/A,Seperable,null
reseek,--,Transitive,--,--,N/A,No,null
reseed,--,tran=np,Past,--,N/A,No,null
outsmart,--,Transitive,--,--,N/A,No,null
pipeline,--,Transitive,--,--,N/A,No,null
tweak,--,Transitive,--,--,N/A,No,null
rein in,--,--,--,--,N/A,Seperable,null
energising,--,Ambitransitive,--,--,N/A,No,null
rip up,--,Transitive,--,--,N/A,NotSeperable,null
tell,--,Ambitransitive,--,--,N/A,No,null
syllabify,--,tran=np,--,--,N/A,No,null
hading,--,--,--,--,N/A,No,null
pettle,--,Transitive,--,--,N/A,No,null
interagglutinate,--,Intransitive,--,--,N/A,No,null
doming,--,--,--,--,N/A,No,null
microminiaturizing,--,Transitive,--,--,N/A,No,null
haled,--,Transitive,Past,--,N/A,No,null
outeating,--,Transitive,--,--,N/A,No,null
hocus-pocus,--,--,--,--,N/A,No,null
chortled,--,--,Past,--,N/A,No,null
migrated,--,Intransitive,Past,--,N/A,No,null
carburising,--,Transitive,--,--,N/A,No,null
mismount,--,--,--,--,N/A,No,null
interwove,--,--,--,--,N/A,No,null
transmigrating,--,--,--,--,N/A,No,null
fidged,--,Intransitive,Past,--,N/A,No,null
quadruple,--,tran=np,--,--,N/A,No,null
varityped,--,--,Past,--,N/A,No,null
inlay,--,Transitive,--,--,N/A,No,null
created,--,--,Past,--,N/A,No,null
inlaw,--,Transitive,--,--,N/A,No,null
island,--,Transitive,--,--,N/A,No,null
format,--,Transitive,--,--,N/A,No,null
work on,--,Intransitive,--,--,N/A,Seperable,null
undergird,--,tran=np,--,--,N/A,No,null
cloven,--,--,--,--,N/A,No,null
reincreasing,--,--,--,--,N/A,No,null
savour,--,Intransitive,--,--,N/A,No,null
fidget,--,Intransitive,--,--,N/A,No,null
quintupled,--,--,Past,--,N/A,No,null
mizzling,--,Intransitive,--,--,N/A,No,null
disherit,--,Transitive,--,--,N/A,No,null
flamed,--,--,Past,--,N/A,No,null
sobbed,--,--,Past,--,N/A,No,null
interinfluencing,--,--,--,--,N/A,No,null
paralysing,--,Transitive,--,--,N/A,No,null
tent,--,Intransitive,--,--,N/A,No,null
heel in,--,Transitive,--,--,N/A,NotSeperable,null
skintled,--,Transitive,Past,--,N/A,No,null
underbudded,--,--,Past,--,N/A,No,null
cone off,--,Transitive,--,--,N/A,NotSeperable,null
tend,--,Intransitive,--,--,N/A,No,null
pedalled,--,--,Past,--,N/A,No,null
upsweeping,--,--,--,--,N/A,No,null
ScM,--,Transitive,--,--,N/A,No,null
chagrining,--,--,--,--,N/A,No,null
discolor,--,tran=np,--,--,N/A,No,null
electroplate,--,Transitive,--,--,N/A,No,null
Europeanised,--,Transitive,Past,--,N/A,No,null
hypostatising,--,Transitive,--,--,N/A,No,null
mineralised,--,Ambitransitive,Past,--,N/A,No,null
outleading,--,Transitive,--,--,N/A,No,null
temp,--,Intransitive,--,--,N/A,No,null
decongest,--,Transitive,--,--,N/A,No,null
fetch up,--,Intransitive,--,--,N/A,NotSeperable,null
uncollar,--,Transitive,--,--,N/A,No,null
deoxygenating,--,Transitive,--,--,N/A,No,null
diamond,--,Transitive,--,--,N/A,No,null
minimised,--,Transitive,Past,--,N/A,No,null
sating,--,Transitive,--,--,N/A,No,null
wireless,--,--,--,--,N/A,No,null
waltz Matilda,--,--,--,--,N/A,NotSeperable,null
tolerate,--,Transitive,--,--,N/A,No,null
bowse,--,--,--,--,N/A,No,null
resent,--,Transitive,--,--,N/A,No,null
overdescribe,--,Transitive,--,--,N/A,No,null
finagling,--,--,--,--,N/A,No,null
synchronizing,--,--,--,--,N/A,No,null
outpray,--,Transitive,--,--,N/A,No,null
examining,--,Transitive,--,--,N/A,No,null
franchising,--,--,--,--,N/A,No,null
overmeddle,--,Intransitive,--,--,N/A,No,null
abusing,--,--,--,--,N/A,No,null
announcement,--,Transitive,--,--,N/A,No,null
embrangling,--,Transitive,--,--,N/A,No,null
emotionalised,--,Transitive,Past,--,N/A,No,null
reprepared,--,Transitive,Past,--,N/A,No,null
flaked,--,--,Past,--,N/A,No,null
send down,--,Transitive,--,--,N/A,Seperable,null
pretaste,--,Transitive,--,--,N/A,No,null
scavenge,--,Transitive,--,--,N/A,No,null
pancake,--,tran=np,--,--,N/A,No,null
poulticing,--,--,--,--,N/A,No,null
effloresced,--,Intransitive,Past,--,N/A,No,null
back down,--,Transitive,--,--,N/A,Seperable,null
drowsing,--,--,--,--,N/A,No,null
cabbaging,--,--,--,--,N/A,No,null
obsecrate,--,Transitive,--,--,N/A,No,null
rewiden,--,--,--,--,N/A,No,null
drivelling,--,--,--,--,N/A,No,null
chirring,--,Intransitive,--,--,N/A,No,null
preinstruct,--,Transitive,--,--,N/A,No,null
mowed,--,--,Past,--,N/A,No,null
pupping,--,--,--,--,N/A,No,null
reinstitute,--,Transitive,--,--,N/A,No,null
impinge,--,Intransitive,--,--,N/A,No,null
stockade,--,Transitive,--,--,N/A,No,null
hyperoxygenate,--,Transitive,--,--,N/A,No,null
kerfuffle,--,Transitive,--,--,N/A,No,null
depraving,--,Transitive,--,--,N/A,No,null
resell,--,tran=np,--,--,N/A,No,null
cauterised,--,Transitive,Past,--,N/A,No,null
underdosing,--,Transitive,--,--,N/A,No,null
prequarantining,--,Transitive,--,--,N/A,No,null
brag,--,tran=pphr(about+np)+tran=pphr(of+np)+tran=fincomp(t),--,--,N/A,No,null
term,--,Transitive,--,--,N/A,No,null
unequalised,--,Transitive,Past,--,N/A,No,null
tweeze,--,--,--,--,N/A,No,null
remanufactured,--,Transitive,Past,--,N/A,No,null
misguide,--,Transitive,--,--,N/A,No,null
headreach,--,Transitive,--,--,N/A,No,null
stealing,--,--,--,--,N/A,No,null
interblend,--,Ambitransitive,--,--,N/A,No,null
Iricize,--,Transitive,--,--,N/A,No,null
resend,--,Transitive,--,--,N/A,No,null
prerouted,--,Transitive,Past,--,N/A,No,null
ruminate,--,tran=pphr(about+np)+tran=pphr(over+np),--,--,N/A,No,null
restirring,--,--,--,--,N/A,No,null
scrammed,--,Intransitive,Past,--,N/A,No,null
spotlight,--,Transitive,--,--,N/A,No,null
emboweled,--,Transitive,Past,--,N/A,No,null
mercurified,--,Transitive,Past,--,N/A,No,null
chunter,--,Intransitive,--,--,N/A,No,null
overallegorizing,--,Transitive,--,--,N/A,No,null
prevalued,--,Transitive,Past,--,N/A,No,null
trump up,--,Transitive,--,--,N/A,NotSeperable,null
believing,--,--,--,--,N/A,No,null
crystallised,--,Ambitransitive,Past,--,N/A,No,null
depolymerizing,--,Transitive,--,--,N/A,No,null
outshrill,--,Transitive,--,--,N/A,No,null
undersplice,--,Transitive,--,--,N/A,No,null
inveigling,--,Transitive,--,--,N/A,No,null
pulsing,--,--,--,--,N/A,No,null
repacify,--,Transitive,--,--,N/A,No,null
overconcentrate,--,tran=np+tran=pphr(on+np)+tran=pphr(upon+np),--,--,N/A,No,null
peroxidizing,--,Ambitransitive,--,--,N/A,No,null
test,--,Ambitransitive,--,--,N/A,No,null
bray,--,Intransitive,--,--,N/A,No,null
overlegislate,--,--,--,--,N/A,No,null
malleate,--,Transitive,--,--,N/A,No,null
lend-leasing,--,--,--,--,N/A,No,null
apostatising,--,Intransitive,--,--,N/A,No,null
diversify,--,tran=np,--,--,N/A,No,null
overboast,--,Intransitive,--,--,N/A,No,null
countermarch,--,--,--,--,N/A,No,null
rewrap,--,tran=np+ditran=np+pphr(in+np)+ditran=np+pphr(in+np);part(up)+ditran=np+pphr(on+np)+ditran=np+pphr(with+np)+cplxtran=np,advbl+cplxtran=np+pphr(around+np),--,--,N/A,No,null
imbibe,--,Transitive,--,--,N/A,No,null
counterplotting,--,--,--,--,N/A,No,null
countersign,--,Transitive,--,--,N/A,No,null
misdoing,--,--,--,--,N/A,No,null
preplanned,--,--,Past,--,N/A,No,null
bred,--,--,Past,--,N/A,No,null
Americanized,--,Ambitransitive,Past,--,N/A,No,null
politicise,--,Ambitransitive,--,--,N/A,No,null
red-pencil,--,--,--,--,N/A,No,null
understuff,--,Transitive,--,--,N/A,No,null
hewed,--,--,Past,--,N/A,No,null
dyking,--,--,--,--,N/A,No,null
spancel,--,--,--,--,N/A,No,null
ignore,--,Transitive,--,--,N/A,No,null
brei,--,--,--,--,N/A,No,null
deflower,--,Transitive,--,--,N/A,No,null
bring down,--,Transitive,--,--,N/A,Seperable,null
weasel out,--,Intransitive,--,--,N/A,NotSeperable,null
priest,--,Transitive,--,--,N/A,No,null
gunkhole,--,Intransitive,--,--,N/A,No,null
schedule,--,Transitive,--,--,N/A,No,null
undam,--,Transitive,--,--,N/A,No,null
parathyroidectomizing,--,Transitive,--,--,N/A,No,null
Aryanised,--,Transitive,Past,--,N/A,No,null
mischarge,--,tran=np,--,--,N/A,No,null
blue-pencilled,--,Transitive,Past,--,N/A,No,null
oversensitized,--,--,Past,--,N/A,No,null
spaeing,--,Transitive,--,--,N/A,No,null
resewn,--,Transitive,--,--,N/A,No,null
fingerprint,--,Transitive,--,--,N/A,No,null
poeticised,--,Ambitransitive,Past,--,N/A,No,null
presaging,--,--,--,--,N/A,No,null
precombat,--,--,--,--,N/A,No,null
renounced,--,--,Past,--,N/A,No,null
stellify,--,--,--,--,N/A,No,null
auspicating,--,--,--,--,N/A,No,null
wimple,--,Transitive,--,--,N/A,No,null
brey,--,Intransitive,--,--,N/A,No,null
brew,--,Ambitransitive,--,--,N/A,No,null
transmogrify,--,tran=np,--,--,N/A,No,null
menace,--,tran=np,--,--,N/A,No,null
backslidden,--,--,--,--,N/A,No,null
preenforcing,--,Transitive,--,--,N/A,No,null
bullied,--,--,Past,--,N/A,No,null
Irishised,--,Transitive,Past,--,N/A,No,null
sewed,--,--,Past,--,N/A,No,null
strike up,--,Transitive,--,--,N/A,NotSeperable,null
sewer,--,Transitive,--,--,N/A,No,null
brim,--,tran=pphr(with+np);part(over),--,--,N/A,No,null
outbragged,--,Transitive,Past,--,N/A,No,null
overheard,--,Transitive,--,--,N/A,No,null
overjade,--,Transitive,--,--,N/A,No,null
forward,--,Transitive,--,--,N/A,No,null
pirouetting,--,--,--,--,N/A,No,null
reelevated,--,Transitive,Past,--,N/A,No,null
doodling,--,--,--,--,N/A,No,null
preagitated,--,Transitive,Past,--,N/A,No,null
scaffold,--,Transitive,--,--,N/A,No,null
budging,--,--,--,--,N/A,No,null
uptear,--,Transitive,--,--,N/A,No,null
fortifying,--,--,--,--,N/A,No,null
pantomime,--,tran=np,--,--,N/A,No,null
underdrying,--,Transitive,--,--,N/A,No,null
interblent,--,Ambitransitive,--,--,N/A,No,null
prenoting,--,Transitive,--,--,N/A,No,null
approximating,--,--,--,--,N/A,No,null
guesstimate,--,tran=fincomp(o)+tran=np,--,--,N/A,No,null
overemphasized,--,Transitive,Past,--,N/A,No,null
berhyme,--,Transitive,--,--,N/A,No,null
remediating,--,Transitive,--,--,N/A,No,null
amated,--,Transitive,Past,--,N/A,No,null
impignorate,--,Transitive,--,--,N/A,No,null
liked,--,--,Past,--,N/A,No,null
blarneyed,--,--,Past,--,N/A,No,null
reconsolidated,--,--,Past,--,N/A,No,null
liken,--,Transitive,--,--,N/A,No,null
jiggling,--,--,--,--,N/A,No,null
reascend,--,tran=np,--,--,N/A,No,null
gibing,--,Intransitive,--,--,N/A,No,null
proselytised,--,Ambitransitive,Past,--,N/A,No,null
preacknowledging,--,Transitive,--,--,N/A,No,null
effuse,--,Intransitive,--,--,N/A,No,null
transmogrified,--,Transitive,Past,--,N/A,No,null
break even,--,Intransitive,--,--,N/A,NotSeperable,null
relower,--,Transitive,--,--,N/A,No,null
disport,--,Ambitransitive,--,--,N/A,No,null
geometrising,--,Intransitive,--,--,N/A,No,null
originate,--,Intransitive,--,--,N/A,No,null
dispose,--,Intransitive,--,--,N/A,No,null
bumper,--,Ambitransitive,--,--,N/A,No,null
disconcert,--,Transitive,--,--,N/A,No,null
disfurnish,--,Transitive,--,--,N/A,No,null
supersulphurizing,--,Transitive,--,--,N/A,No,null
misallotting,--,Transitive,--,--,N/A,No,null
ethylating,--,--,--,--,N/A,No,null
fuelling,--,--,--,--,N/A,No,null
gamboled,--,--,Past,--,N/A,No,null
transistorizing,--,Transitive,--,--,N/A,No,null
preinspire,--,Transitive,--,--,N/A,No,null
hydroplaned,--,--,Past,--,N/A,No,null
euphemizing,--,--,--,--,N/A,No,null
dieselize,--,Ambitransitive,--,--,N/A,No,null
syringe,--,Transitive,--,--,N/A,No,null
reauthorize,--,Transitive,--,--,N/A,No,null
prevaluing,--,Transitive,--,--,N/A,No,null
